Ticker,Name,Identifier,Weight,Shares,Market Value
000660 KS,"SK hynix Inc",6450267,4.24%,"64,301","$77,447,940"
005930 KS,"Samsung Electronics Co Ltd",6771720,2.81%,"273,813","$51,275,095"
042700 KS,"Hanmi Semiconductor Co Ltd",B0CSXQ8,1.01%,"115,396","$18,456,297"
2330 TT,"Taiwan Semiconductor Manufacturing Co Ltd",6889106,2.47%,"588,272","$45,039,807"
2382 TT,"Quanta Computer Inc",6141011,0.57%,"983,196","$10,342,719"
2513 HK,"Z AI Co Ltd",BT9QZ17,3.32%,"436,329","$60,663,474"
285A JP,"Kioxia Holdings Corp",BMGYJ02,1.63%,"98,998","$29,662,554"
300308 C2,"Zhongji Innolight Co Ltd",BFFJRM7,1.94%,"277,598","$35,455,400"
3037 TT,"Unimicron Technology Corp",6137720,2.01%,"1,046,082","$36,735,985"
3231 TT,"Wistron Corp",6672481,0.58%,"1,883,593","$10,607,427"
4062 JP,"Ibiden Co Ltd",6456102,1.07%,"155,113","$19,575,296"
6146 JP,"Disco Corp",6270948,1.00%,"49,248","$18,283,356"
6857 JP,"Advantest Corp",6870490,2.03%,"168,007","$37,066,317"
6976 JP,"Taiyo Yuden Co Ltd",6870564,1.47%,"463,010","$26,772,992"
9984 JP,"SoftBank Group Corp",6770620,2.16%,"1,221,712","$39,441,126"
ALAB,"Astera Labs Inc",04626A103,2.66%,"167,560","$48,503,593"
AMD,"Advanced Micro Devices Inc",007903107,2.54%,"99,404","$46,280,514"
AMZN,"Amazon.com Inc",023135106,3.07%,"210,368","$56,048,346"
ANET,"Arista Networks Inc",040413205,1.85%,"173,294","$33,858,181"
ARM,"ARM Holdings PLC",042068205,2.21%,"168,613","$40,306,937"
ASML,"ASML Holding NV",N07059210,3.10%,"33,357","$56,578,809"
AVGO,"Broadcom Inc",11135F101,2.57%,"127,187","$46,905,293"
BABA,"Alibaba Group Holding Ltd",01609W102,1.76%,"270,584","$32,172,437"
BESI NA,"BE Semiconductor Industries NV",BG0SCK9,1.43%,"113,757","$26,108,944"
CBRS,"Cerebras Systems Inc",15675D103,0.87%,"88,953","$15,929,703"
CLS,"Celestica Inc",15101Q207,1.18%,"72,112","$21,539,854"
CNY,"CHINESE YUAN",CASHCNY,0.01%,"681,857","$101,460"
COHR,"Coherent Corp",19247G107,2.04%,"133,138","$37,172,129"
CRDO,"Credo Technology Group Holding Ltd",G25457105,1.10%,"86,222","$20,068,170"
CRWD,"Crowdstrike Holdings Inc",22788C105,1.75%,"146,140","$31,916,976"
CRWV,"CoreWeave Inc",21873S108,2.70%,"585,136","$49,286,005"
DELL,"Dell Technologies Inc",24703L202,1.21%,"48,409","$22,086,122"
EUR,"EURO",CASHEUR,-0.44%,"-6,933,433","$-8,057,353"
FGXXX,"First American Government Obligations Fund 12/01/2031",31846V336,0.89%,"16,241,979","$16,241,979"
GOOGL,"Alphabet Inc",02079K305,5.69%,"299,752","$103,891,045"
HPE,"Hewlett Packard Enterprise Co",42824C109,0.90%,"314,864","$16,470,535"
INTC,"Intel Corp",458140100,1.11%,"226,444","$20,259,944"
KRW,"SOUTH KOREA WON",CASHKRW,0.03%,"846,642,621","$616,906"
LITE,"Lumentum Holdings Inc",55024U109,2.16%,"44,127","$39,493,665"
META,"Meta Platforms Inc",30303M102,1.78%,"56,328","$32,558,710"
MRVL,"MARVELL TECHNOLOGY INC",573874104,1.03%,"86,763","$18,794,601"
MSFT,"Microsoft Corp",594918104,2.49%,"88,620","$45,509,028"
MU,"Micron Technology Inc",595112103,3.27%,"64,051","$59,750,615"
NBIS,"Nebius Group NV",N97284108,3.19%,"278,525","$58,261,859"
NET,"Cloudflare Inc",18915M107,1.47%,"89,238","$26,757,121"
NVDA,"NVIDIA Corp",67066G104,7.15%,"600,022","$130,534,786"
SKM,"SK Telecom Co Ltd",78440P306,2.29%,"1,070,020","$41,815,740"
SMCI,"Super Micro Computer Inc",86800U302,1.42%,"696,913","$25,841,534"
SNOW,"Snowflake Inc",833445109,1.60%,"88,857","$29,145,096"
SU FP,"Schneider Electric SE",4834108,1.37%,"71,364","$25,024,795"
TWD,"NEW TAIWAN DOLLAR",CASHTWD,0.04%,"21,317,844","$674,444"
VRT,"Vertiv Holdings Co",92537N108,2.22%,"157,675","$40,535,089"
Cash&Other,,Cash&Other,-0.03%,,"$-535,330"
