iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"142,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","1,488,654,481.60","10.31","1,488,654,481.60","8,273,980.00","179.92","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","1,379,709,546.45","9.55","1,379,709,546.45","3,810,405.00","362.09","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","1,358,415,526.00","9.40","1,358,415,526.00","2,711,300.00","501.02","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","1,028,838,746.73","7.12","1,028,838,746.73","4,783,739.00","215.07","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","992,065,143.25","6.87","992,065,143.25","3,843,575.00","258.11","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","756,491,754.12","5.24","756,491,754.12","5,353,041.00","141.32","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","698,149,524.90","4.83","698,149,524.90","4,885,581.00","142.90","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","547,802,290.56","3.79","547,802,290.56","1,914,857.00","286.08","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","477,478,702.35","3.31","477,478,702.35","2,950,131.00","161.85","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","451,902,106.11","3.13","451,902,106.11","1,310,127.00","344.93","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","409,026,203.04","2.83","409,026,203.04","1,306,626.00","313.04","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","376,457,446.40","2.61","376,457,446.40","907,520.00","414.82","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","360,679,439.12","2.50","360,679,439.12","1,156,988.00","311.74","United States","NASDAQ","USD","1.00","USD","-"
