holdings_date,ticker,cusip,proper_name,shares,market_value,percent_of_nav,is_cash,country,sector
2026-08-28,SPACEX SPV,SPACEX SPV,SPACEX SPV EXPOSURE,1291141.21,182696480.93,0.1696,0,,
2026-08-28,RKLB,773121108,ROCKET LAB CORP,1618266,104200147.74,0.0968,0,United States,Industrials
2026-08-28,SPCX,84615Q103,SPACE EXPLORATION TECHNOLOGIES CORP,474096,67084584,0.0623,0,United States,Communication Services
2026-08-28,VSAT,92552V100,VIASAT INC,850380,57290100.6,0.0532,0,United States,Information Technology
2026-08-28,ASTS,00217D100,AST SPACEMOBILE INC,986730,57279676.5,0.0532,0,United States,Communication Services
2026-08-28,3491 TT,,UNIVERSAL MICROWAVE TECHNOLOGY INC,1139153,54420432.49,0.0505,0,Taiwan,Information Technology
2026-08-28,FTC LN,,FILTRONIC PLC,13797479,43993965.51,0.0409,0,United Kingdom,Information Technology
2026-08-28,LUNR,46125A100,INTUITIVE MACHINES INC,2657182,40840887.34,0.0379,0,United States,Industrials
2026-08-28,FLY,31816X106,FIREFLY AEROSPACE INC,1910708,40621652.08,0.0377,0,United States,Industrials
2026-08-28,VOYG,92892B103,VOYAGER TECHNOLOGIES INC,1162253,39853655.37,0.037,0,United States,Industrials
2026-08-28,VNP CN,,5N PLUS INC,1744151,32139496.26,0.0298,0,Canada,Materials
2026-08-28,MDA,55293N109,MDA SPACE LTD,1109823,32051688.24,0.0298,0,Canada,Industrials
2026-08-28,BKSY,09263B207,BLACKSKY TECHNOLOGY INC,1155501,27385373.7,0.0254,0,United States,Industrials
2026-08-28,PL,72703X106,PLANET LABS PBC,1347868,26930402.64,0.025,0,United States,Industrials
2026-08-28,186A JP,,ASTROSCALE HOLDINGS INC,3362164,25246422.79,0.0234,0,Japan,Industrials
2026-08-28,LITE,55024U109,LUMENTUM HOLDINGS INC,24659,22069805,0.0205,0,United States,Information Technology
2026-08-28,290A JP,,SYNSPECTIVE INC,2024866,20517461.51,0.0191,0,Japan,Industrials
2026-08-28,464A JP,,QPS HOLDINGS INC,1621634,19450490.58,0.0181,0,Japan,Industrials
2026-08-28,LPTH,532257805,LIGHTPATH TECHNOLOGIES INC,1661841,18662474.43,0.0173,0,United States,Information Technology
2026-08-28,ECHO,278768106,ECHOSTAR CORP,202061,17546977.24,0.0163,0,United States,Communication Services
2026-08-28,AIXA GR,,AIXTRON SE,411102,17433502.73,0.0162,0,Germany,Information Technology
2026-08-28,3105 TT,,WIN SEMICONDUCTORS CORP,1173382,16296972.22,0.0151,0,Taiwan,Information Technology
2026-08-28,SATL,80401C100,SATELLOGIC INC,3170822,15378486.7,0.0143,0,United States,
2026-08-28,VPG,92835K103,VISHAY PRECISION GROUP INC,233275,14591351.25,0.0135,0,United States,Information Technology
2026-08-28,YSS,987084100,YORK SPACE SYSTEMS INC,1556694,13963545.18,0.013,0,United States,Industrials
2026-08-28,LASR,65487K100,NLIGHT INC,251335,10792324.9,0.01,0,United States,Information Technology
2026-08-28,MDA CN,,MDA SPACE LTD,301624,8701505.84,0.0081,0,Canada,Industrials
2026-08-28,VELO,92259N302,VELO3D INC,671056,7965434.72,0.0074,0,United States,Industrials
2026-08-28,OHB GR,,OHB SE,31718,6967838.99,0.0065,0,Germany,Industrials
2026-08-28,CRI PW,,CREOTECH INSTRUMENTS SA,34335,6452448.51,0.006,0,Poland,Industrials
2026-08-28,RDW,75776W103,REDWIRE CORP,546906,5944868.22,0.0055,0,United States,Industrials
2026-08-28,CPSH,12619F104,CPS TECHNOLOGIES CORP,1506077,5723092.6,0.0053,0,United States,Information Technology
2026-08-28,347700 KS,,SPHERE CORP,303360,4918216.26,0.0046,0,South Korea,Health Care
2026-08-28,OPTX,87169M105,SYNTEC OPTICS HLDGS INC,541996,4617805.92,0.0043,0,United States,Information Technology
2026-08-28,HAWK,420201105,HAWKEYE 360 INC,229712,4451818.56,0.0041,0,United States,Industrials
2026-08-28,KVHI,482738101,KVH INDUSTRIES INC,182006,1368685.12,0.0013,0,United States,Information Technology
2026-08-28,,,CASH & CASH EQUIVALENTS,,1039188.77,0.001,1,,
