iShares Semiconductor ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"81,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","3,882,972,634.56","9.49","3,882,972,634.56","17,857,674.00","217.44","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","3,624,624,062.08","8.86","3,624,624,062.08","3,883,082.00","933.44","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","3,357,771,857.78","8.21","3,357,771,857.78","7,305,698.00","459.61","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","3,119,877,761.68","7.62","3,119,877,761.68","8,439,401.00","369.68","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","2,115,928,847.06","5.17","2,115,928,847.06","23,782,498.00","88.97","United States","NASDAQ","USD","1.00","USD","-"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,938,861,360.00","4.74","1,938,861,360.00","4,683,240.00","414.00","Taiwan","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","1,934,801,772.57","4.73","1,934,801,772.57","9,196,263.00","210.39","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","1,850,842,930.65","4.52","1,850,842,930.65","4,188,849.00","441.85","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH","Information Technology","Equity","1,719,452,121.80","4.20","1,719,452,121.80","5,925,059.00","290.20","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","1,676,463,881.77","4.10","1,676,463,881.77","9,810,193.00","170.89","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","1,614,963,745.56","3.95","1,614,963,745.56","4,555,353.00","354.52","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,562,435,942.32","3.82","1,562,435,942.32","6,167,348.00","253.34","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","1,362,213,194.40","3.33","1,362,213,194.40","1,111,140.00","1,225.96","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","1,304,734,064.00","3.19","1,304,734,064.00","5,866,610.00","222.40","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","1,251,290,749.78","3.06","1,251,290,749.78","7,510,298.00","166.61","United States","NASDAQ","USD","1.00","USD","-"
"TER","TERADYNE","Information Technology","Equity","1,223,818,798.26","2.99","1,223,818,798.26","3,648,181.00","335.46","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING ADR REPRESENTING","Information Technology","Equity","1,011,672,458.40","2.47","1,011,672,458.40","607,560.00","1,665.14","Netherlands","NASDAQ","USD","1.00","USD","-"
"ALAB","ASTERA LABS","Information Technology","Equity","918,819,130.32","2.25","918,819,130.32","3,282,552.00","279.91","United States","NASDAQ","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","890,211,556.23","2.18","890,211,556.23","12,466,203.00","71.41","United States","NASDAQ","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","801,688,239.75","1.96","801,688,239.75","3,879,825.00","206.63","United States","NASDAQ","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","663,906,939.50","1.62","663,906,939.50","9,138,430.00","72.65","United States","NASDAQ","USD","1.00","USD","-"
"ASX","ASE TECHNOLOGY HOLDING ADR REPRESE","Information Technology","Equity","529,267,236.84","1.29","529,267,236.84","14,140,188.00","37.43","Taiwan","NYSE","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","460,464,516.36","1.13","460,464,516.36","3,555,436.00","129.51","United States","NASDAQ","USD","1.00","USD","-"
"MTSI","MACOM TECHNOLOGY SOLUTIONS","Information Technology","Equity","424,109,822.78","1.04","424,109,822.78","1,618,678.00","262.01","United States","NASDAQ","USD","1.00","USD","-"
"UMC","UNITED MICRO ELECTRONICS ADR REP","Information Technology","Equity","401,277,872.46","0.98","401,277,872.46","19,603,218.00","20.47","Taiwan","NYSE","USD","1.00","USD","-"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","Information Technology","Equity","274,677,407.52","0.67","274,677,407.52","1,169,736.00","234.82","United Kingdom","NASDAQ","USD","1.00","USD","-"
"STM","STMICROELECTRONICS ADR","Information Technology","Equity","273,123,806.80","0.67","273,123,806.80","5,528,822.00","49.40","France","NYSE","USD","1.00","USD","-"
"NVMI","NOVA","Information Technology","Equity","251,427,677.68","0.61","251,427,677.68","744,662.00","337.64","Israel","NASDAQ","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS","Information Technology","Equity","236,891,480.49","0.58","236,891,480.49","3,514,189.00","67.41","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS","Information Technology","Equity","212,229,032.80","0.52","212,229,032.80","2,514,562.00","84.40","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","60,412,307.83","0.15","60,412,307.83","60,412,308.00","1.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","4,895,000.00","0.01","4,895,000.00","4,895,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"IXTU6","EMINI TECHNOLOGY SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","27,768,750.00","75.00","3,702.50","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
