Global X Artificial Intelligence & Technology ETF
Fund Holdings Data as of 08/28/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
4.12,PLTR,PALANTIR TECHNOLOGIES INC-A,BN78DQ4,186.29,"2,249,194.00","419,002,350.26"
3.67,MSFT,MICROSOFT CORP,2588173,513.5300000000001,"727,072.00","373,373,284.16"
3.43,ORCL,ORACLE CORP,2661568,150.85,"2,311,562.00","348,699,127.70"
3.27,SPCX,SPACE EXPLORATION TECHN-CL A,BXCVG25,141.5,"2,346,813.00","332,074,039.50"
3.24,NFLX,NETFLIX INC,2857817,81.72,"4,027,768.00","329,149,200.96"
3.11,AMZN,AMAZON.COM INC,2000019,266.43,"1,187,683.00","316,434,381.69"
2.98,TSLA,TESLA INC,B616C79,348.75,"868,098.00","302,749,177.50"
2.98,GOOGL,ALPHABET INC-CL A,BYVY8G0,346.59,"873,367.00","302,700,268.53"
2.84,NVDA,NVIDIA CORP,2379504,217.55,"1,329,293.00","289,187,692.15"
2.79,700 HK,TENCENT HOLDINGS LTD,BMMV2K8,58.06159478049005,"4,889,118.00","283,869,988.15"
2.78,005930 KS,SAMSUNG ELECTRONICS CO LTD,6771720,187.2631885733694,"1,507,461.00","282,291,953.51"
2.74,TSM,TAIWAN SEMICONDUCTOR-SP ADR,2113382,417.52,"667,658.00","278,760,568.16"
2.71,AAPL,APPLE INC,2046251,319.7,"862,683.00","275,799,755.10"
2.66,CSCO,CISCO SYSTEMS INC,2198163,109.93,"2,460,908.00","270,527,616.44"
2.60,META,META PLATFORMS INC,B7TL820,578.02,"457,728.00","264,575,938.56"
2.57,MU,MICRON TECHNOLOGY INC,2588184,932.86,"280,098.00","261,292,220.28"
2.56,AVGO,BROADCOM INC,BDZ78H9,368.79,"707,113.00","260,776,203.27"
2.51,000660 KS,SK HYNIX INC,6450267,1204.459341300435,"212,206.00","255,593,498.98"
2.44,INTC,INTEL CORP,2463247,89.47,"2,768,330.00","247,682,485.10"
2.35,AMD,ADVANCED MICRO DEVICES,2007849,465.58,"514,221.00","239,411,013.18"
2.26,BABA,ALIBABA GROUP HOLDING-SP ADR,BP41ZD1,118.9,"1,930,587.00","229,546,794.30"
2.16,SAP,SAP SE-SPONSORED ADR,2775135,221.54,"989,436.00","219,199,651.44"
2.09,SIE GR,SIEMENS AG-REG,5727973,336.83513264685,"630,848.00","212,491,769.76"
1.75,IBM,INTL BUSINESS MACHINES CORP,2005973,235.59,"757,112.00","178,368,016.08"
1.66,CRM,SALESFORCE INC,2310525,256.0,"659,721.00","168,888,576.00"
1.50,MRVL,MARVELL TECHNOLOGY INC,BNKJSM5,216.62,"705,400.00","152,803,748.00"
1.48,SHOP,SHOPIFY INC - CLASS A,BXDZ9Z0,152.9,"982,116.00","150,165,536.40"
1.47,STX,SEAGATE TECHNOLOGY HOLDINGS,BKVD2N4,829.76,"180,688.00","149,927,674.88"
1.37,QCOM,QUALCOMM INC,2714923,164.19,"848,948.00","139,388,772.12"
1.27,UBER,UBER TECHNOLOGIES INC,BK6N347,78.82,"1,639,390.00","129,216,719.80"
1.18,NOW,SERVICENOW INC,B80NXX8,144.71,"830,629.00","120,200,322.59"
0.92,ACN,ACCENTURE PLC-CL A,B4BNMY3,189.61,"492,823.00","93,444,169.03"
0.92,ADBE,ADOBE INC,2008154,291.52,"320,165.00","93,334,500.80"
0.90,SNOW,SNOWFLAKE INC,BN134B7,328.0,"279,001.00","91,512,328.00"
0.89,2317 TT,HON HAI PRECISION INDUSTRY,6438564,8.004302708384863,"11,320,400.00","90,611,908.38"
0.11,2718 HK,MININGLAMP TECHNOLOG-CLASS A,BV9F2V7,5.344421838900419,"2,042,960.00","10,918,440.04"
0.02,"",TAIWAN DOLLAR,"",0.03163756013709733,"69,832,727.00","2,209,337.10"
0.01,"",KOREAN WON,"",0.0007286505409447258,"2,046,359,339.92","1,491,080.84"
0.00,"",CASH,"",1.0,"247,071.49","247,071.49"
0.00,"",SWISS FRANC,"",1.239140271493213,132.60,164.31
0.00,"",EURO,"",1.0,0.01,0.01
0.00,"",JAPANESE YEN,"",0.01,-1.00,-0.01
0.00,"",CANADIAN DOLLAR,"",0.7203813635545961,-277.95,-200.23
-0.01,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"-842,819.19","-842,819.19"
0.77,APP,APPLOVIN CORP-CLASS A,BMV3LG4,317.76,"246,364.00","78,284,624.64"
0.74,CDNS,CADENCE DESIGN SYS INC,2302232,340.39,"222,118.00","75,606,746.02"
0.69,IFX GR,INFINEON TECHNOLOGIES AG,5889505,66.33275615688515,"1,053,739.00","69,897,412.14"
0.67,SNPS,SYNOPSYS INC,2867719,442.61,"153,162.00","67,791,032.82"
0.62,DDOG,DATADOG INC - CLASS A,BKT9Y49,236.98,"264,627.00","62,711,306.46"
0.55,HPE,HEWLETT PACKARD ENTERPRISE,BYVYWS0,52.31,"1,059,242.00","55,408,949.02"
0.49,WIX,WIX.COM LTD,BFZCHN7,87.61999999999999,"564,390.00","49,451,851.80"
0.48,PATH,UIPATH INC - CLASS A,BMD02L5,18.15,"2,701,898.00","49,039,448.70"
0.47,5803 JP,FUJIKURA LTD,6356707,33.4031839357644,"1,424,008.00","47,566,401.15"
0.46,NOK,NOKIA CORP-SPON ADR,2640891,10.21,"4,593,277.00","46,897,358.17"
0.44,NXPI,NXP SEMICONDUCTORS NV,B505PN7,223.58,"201,951.00","45,152,204.58"
0.43,3690 HK,MEITUAN-CLASS B,BGJW376,9.88526712491747,"4,475,715.00","44,243,638.35"
0.43,WDAY,WORKDAY INC-CLASS A,B8K6ZD1,204.72,"215,521.00","44,121,459.12"
0.41,100 HK,MINIMAX GROUP INC,BWJFCD6,38.31657089476501,"1,083,860.00","41,529,798.53"
0.39,3443 TT,GLOBAL UNICHIP CORP,B056381,190.299924090113,"208,405.00","39,659,455.68"
0.38,PEGA,PEGASYSTEMS INC,2675860,36.17,"1,059,568.00","38,324,574.56"
0.38,ZBRA,ZEBRA TECHNOLOGIES CORP-CL A,2989356,356.45,"107,253.00","38,230,331.85"
0.36,TRI,THOMSON REUTERS CORP,BVWN8M1,106.2250000143187,"349,193.00","37,093,026.43"
0.36,GLOB,GLOBANT SA,BP40HF4,40.52,"900,338.00","36,481,695.76"
0.36,DT,DYNATRACE INC,BJV2RD9,53.67,"677,966.00","36,386,435.22"
0.36,ZS,ZSCALER INC,BZ00V34,184.23,"197,282.00","36,345,262.86"
0.35,CCC,CCC INTELLIGENT SOLUTIONS HO,BP4CXL8,7.49,"4,801,294.00","35,961,692.06"
0.35,AI,C3.AI INC-A,BMGNBJ2,10.53,"3,381,516.00","35,607,363.48"
0.35,TWLO,TWILIO INC - A,BD6P5Q0,237.78,"148,927.00","35,411,862.06"
0.34,G,GENPACT LTD,B23DBK6,38.02,"907,459.00","34,501,591.18"
0.34,TEMN SW,TEMENOS AG - REG,7147892,93.4944237814927,"367,109.00","34,322,644.42"
0.34,6702 JP,FUJITSU LIMITED,6356945,24.42060488638138,"1,395,634.00","34,082,226.48"
0.33,SNAP,SNAP INC - A,BD8DJ71,5.430000000000001,"6,249,295.00","33,933,671.85"
0.33,OKTA,OKTA INC,BDFZSP1,166.23,"202,491.00","33,660,078.93"
0.33,6701 JP,NEC CORP,6640400,30.70090388490129,"1,094,365.00","33,597,994.68"
0.33,DXC,DXC TECHNOLOGY CO,BYXD7B3,11.21,"2,972,964.00","33,326,926.44"
0.33,WKL NA,WOLTERS KLUWER,5671519,81.60277044770305,"405,559.00","33,094,737.98"
0.32,SMCI,SUPER MICRO COMPUTER INC,BRC3N73,37.08,"883,311.00","32,753,171.88"
0.32,EXPN LN,EXPERIAN PLC,B19NLV4,41.32051908849379,"779,501.00","32,209,385.95"
0.32,EFX,EQUIFAX INC,2319146,193.79,"165,309.00","32,035,231.11"
0.31,GEHC,GE HEALTHCARE TECHNOLOGY,BL6JPG8,71.725,"444,580.00","31,887,500.50"
0.31,TIETO FH,TIETO OYJ,5479702,22.89340042876447,"1,390,507.00","31,833,433.55"
0.31,SOUN,SOUNDHOUND AI INC-A,BLDBS68,7.109999999999999,"4,430,771.00","31,502,781.81"
0.31,2395 TT,ADVANTECH CO LTD,6202673,21.16552771147969,"1,484,457.00","31,419,315.77"
0.31,AMP IM,AMPLIFON SPA,B14NJ71,14.11372325757459,"2,216,422.00","31,281,966.73"
0.30,CRWV,COREWEAVE INC-CL A,BTTRKN7,84.22999999999999,"358,013.00","30,155,434.99"
0.29,6954 JP,FANUC CORP,6356934,37.85694179445624,"787,949.00","29,829,339.43"
0.29,ERIC,ERICSSON (LM) TEL-SP ADR,2031730,9.950000000000001,"2,960,193.00","29,453,920.35"
0.28,TDC,TERADATA CORP,B247H10,28.77,"995,642.00","28,644,620.34"
0.28,QUBT,QUANTUM COMPUTING INC,BFYDQ34,8.15,"3,506,292.00","28,576,279.80"
0.28,PONY,PONY AI INC,BRWKBD6,7.58,"3,764,944.00","28,538,275.52"
0.28,4755 JP,RAKUTEN GROUP INC,6229597,4.954180089075504,"5,664,408.00","28,062,497.33"
0.27,AMBA,AMBARELLA INC,B7KH3G6,70.63,"390,854.00","27,606,018.02"
0.27,2513 HK,Z AI CO LTD,BT9QZ17,139.0314989383215,"197,800.00","27,500,430.49"
0.27,CLS,CELESTICA INC,BMDLRD5,298.7,"91,966.00","27,470,244.20"
0.24,BIDU,BAIDU INC - SPON ADR,B0FXT17,97.12,"256,632.00","24,924,099.84"
0.18,HUT,HUT 8 CORP,BQQ8816,79.42,"234,207.00","18,600,719.94"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
