Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"NVDA","NVIDIA Corp","1,898,979.00","13.95%","Common Stock","67066G104","$413,122,881.45"
"AVGO","Broadcom Inc","747,850.00","9.31%","Common Stock","11135F101","$275,799,601.50"
"MU","Micron Technology Inc","275,331.00","8.67%","Common Stock","595112103","$256,845,276.66"
"MRVL","Marvell Technology Inc","652,112.00","4.77%","Common Stock","573874104","$141,260,501.44"
"ASML","ASML Holding NV","83,039.00","4.76%","American Depository Receipt - NY","N07059210","$140,847,430.24"
"AMAT","Applied Materials Inc","296,928.00","4.63%","Common Stock","038222105","$137,082,749.76"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd","319,479.00","4.50%","American Depository Receipt","874039100","$133,388,872.08"
"LRCX","Lam Research Corp","419,993.00","4.28%","Common Stock","512807306","$126,795,886.70"
"KLAC","KLA Corp","695,436.00","4.13%","Common Stock","482480100","$122,076,835.44"
"AMD","Advanced Micro Devices Inc","258,991.00","4.07%","Common Stock","007903107","$120,581,029.78"
"ADI","Analog Devices Inc","322,968.00","3.95%","Common Stock","032654105","$116,843,363.04"
"TXN","Texas Instruments Inc","437,364.00","3.82%","Common Stock","882508104","$113,119,824.96"
"INTC","Intel Corp","1,165,539.00","3.52%","Common Stock","458140100","$104,280,774.33"
"QCOM","QUALCOMM Inc","532,545.00","2.95%","Common Stock","747525103","$87,438,563.55"
"MPWR","Monolithic Power Systems Inc","62,406.00","2.65%","Common Stock","609839105","$78,398,161.56"
"NXPI","NXP Semiconductors NV","320,960.00","2.42%","Common Stock","N6596X109","$71,760,236.80"
"TER","Teradyne Inc","198,815.00","2.38%","Common Stock","880770102","$70,573,360.55"
"COHR","Coherent Corp","248,754.00","2.34%","Common Stock","19247G107","$69,452,116.80"
"ALAB","Astera Labs Inc","217,879.00","2.13%","Common Stock","04626A103","$63,069,434.13"
"CRDO","Credo Technology Group Holding Ltd","234,413.00","1.84%","Common Stock","G25457105","$54,559,625.75"
"MCHP","Microchip Technology Inc","688,824.00","1.71%","Common Stock","595017104","$50,235,934.32"
"ARM","ARM Holdings PLC","179,777.00","1.45%","American Depository Receipt","042068205","$42,975,691.85"
"ON","ON Semiconductor Corp","498,122.00","1.22%","Common Stock","682189105","$36,168,638.42"
"GFS","GLOBALFOUNDRIES Inc","697,560.00","1.05%","Common Stock","G39387108","$31,222,785.60"
"ENTG","Entegris Inc","193,728.00","0.88%","Common Stock","29362U104","$26,137,781.76"
"MTSI","MACOM Technology Solutions Holdings Inc","96,909.00","0.87%","Common Stock","55405Y100","$25,707,050.43"
"NVMI","Nova Ltd","40,549.00","0.48%","Common Stock","M7516K103","$14,154,033.94"
"SWKS","Skyworks Solutions Inc","191,292.00","0.42%","Common Stock","83088M102","$12,585,100.68"
"RMBS","Rambus Inc","137,487.00","0.40%","Common Stock","750917106","$11,790,885.12"
"QRVO","Qorvo Inc","111,770.00","0.36%","Common Stock","74736K101","$10,587,972.10"
"AGPXX","Invesco Government & Agency Portfolio","2,261,083.19","0.08%","Money Market Fund, Taxable","825252885","$2,261,083.19"
"--","SECURITIES LENDING - BNYM","1.00","0.00%","Uninvestible Cash","BNYMLEND","$0.01"
"USDPDV","USD Pending Dividends","0.00","--","Currency","--","$624,075"

# as of 2026-08-28
