Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"MU","Micron Technology Inc","163,414.00","6.41%","Common Stock","595112103","$152,442,384.04"
"AMAT","Applied Materials Inc","321,722.00","6.25%","Common Stock","038222105","$148,529,395.74"
"NVDA","NVIDIA Corp","681,176.00","6.23%","Common Stock","67066G104","$148,189,838.80"
"LRCX","Lam Research Corp","453,510.00","5.75%","Common Stock","512807306","$136,914,669"
"AMD","Advanced Micro Devices Inc","290,445.00","5.68%","Common Stock","007903107","$135,225,383.10"
"KLAC","KLA Corp","727,599.00","5.38%","Common Stock","482480100","$127,722,728.46"
"ADI","Analog Devices Inc","348,489.00","5.30%","Common Stock","032654105","$126,076,350.42"
"INTC","Intel Corp","1,184,716.00","4.46%","Common Stock","458140100","$105,996,540.52"
"ONTO","Onto Innovation Inc","291,126.00","3.31%","Common Stock","683344105","$78,834,009.54"
"COHU","Cohu Inc","1,598,420.00","3.22%","Common Stock","192576106","$76,724,160"
"ENTG","Entegris Inc","561,645.00","3.19%","Common Stock","29362U104","$75,777,143.40"
"TER","Teradyne Inc","205,169.00","3.06%","Common Stock","880770102","$72,828,839.93"
"DIOD","Diodes Inc","737,464.00","2.73%","Common Stock","254543101","$64,896,832"
"SMTC","Semtech Corp","485,316.00","2.68%","Common Stock","816850101","$63,658,899.72"
"UCTT","Ultra Clean Holdings Inc","912,564.00","2.67%","Common Stock","90385V107","$63,404,946.72"
"MKSI","MKS Inc","238,883.00","2.57%","Common Stock","55306N104","$61,096,716.08"
"ICHR","Ichor Holdings Ltd","1,097,409.00","2.56%","Common Stock","G4740B105","$60,845,842.01"
"LSCC","Lattice Semiconductor Corp","530,874.00","2.55%","Common Stock","518415104","$60,731,985.60"
"MPWR","Monolithic Power Systems Inc","48,043.00","2.54%","Common Stock","609839105","$60,354,499.18"
"SITM","SiTime Corp","107,474.00","2.52%","Common Stock","82982T106","$59,955,445.64"
"KLIC","Kulicke & Soffa Industries Inc","735,321.00","2.50%","Common Stock","501242101","$59,583,060.63"
"FORM","FormFactor Inc","584,886.00","2.50%","Common Stock","346375108","$59,479,981.77"
"TSEM","Tower Semiconductor Ltd","276,600.00","2.42%","Common Stock","M87915274","$57,535,566"
"AMKR","Amkor Technology Inc","1,086,587.00","2.19%","Common Stock","031652100","$52,025,785.56"
"MTSI","MACOM Technology Solutions Holdings Inc","194,839.00","2.17%","Common Stock","55405Y100","$51,684,941.53"
"MXL","MaxLinear Inc","830,422.00","2.15%","Common Stock","57776J100","$51,261,950.06"
"CRUS","Cirrus Logic Inc","447,648.00","2.04%","Common Stock","172755100","$48,560,855.04"
"LASR","nLight Inc","978,542.00","1.77%","Common Stock","65487K100","$42,018,593.48"
"PLAB","Photronics Inc","1,465,881.00","1.71%","Common Stock","719405102","$40,648,880.13"
"AXTI","AXT Inc","601,540.00","1.48%","Common Stock","00246W103","$35,268,290.20"
"AGPXX","Invesco Government & Agency Portfolio","495,890.23","0.02%","Money Market Fund, Taxable","825252885","$495,890.23"
"--","SECURITIES LENDING - BNYM","1.00","0.00%","Uninvestible Cash","BNYMLEND","$0.01"
"USDPDV","USD Pending Dividends","0.00","--","Currency","--","$396,409.78"

# as of 2026-08-28
